序號,縣市別代碼,工廠名稱,登記編號,廠址,產業類別,產品名稱
253,66000,三松食品實業有限公司溪南廠,99644413,臺中市烏日區螺潭里溪南路２段２７０巷６７號,08食品製造業,089其他食品
254,66000,枝宗碾米工廠分廠,99644425,臺中市大肚區福山里王福街988巷88弄50號,08食品製造業,086碾榖、磨粉及澱粉製品
255,66000,枝宗碾米工廠,99644426,臺中市大肚區福山里沙田路一段五三四號,08食品製造業,086碾榖、磨粉及澱粉製品
256,66000,新豐美米廠,99644446,臺中市沙鹿區興仁里鎮南路二段六二０號,08食品製造業,086碾榖、磨粉及澱粉製品
257,66000,大雅鄉農會三和碾米加工廠,99644452,臺中市大雅區二和里田心街21號,"08食品製造業,09飲料製造業",086碾榖、磨粉及澱粉製品
258,66000,大豐化學製藥股份有限公司,99644469,臺中市大甲區庄美里光明路298號,"20藥品及醫用化學製品製造業,08食品製造業","200藥品及醫用化學製品,087動物飼料"
259,66000,臺中市大里區農會草湖工廠,99644595,臺中市大里區西湖里西湖路116號,08食品製造業,086碾榖、磨粉及澱粉製品
260,66000,連環碾米工廠,99644615,臺中市龍井區福田里茄投路福頭崙巷七號,08食品製造業,086碾榖、磨粉及澱粉製品
261,66000,僑聯食品加工廠股份有限公司,99644628,臺中市太平區東平里中平路３４號,08食品製造業,086碾榖、磨粉及澱粉製品
262,66000,茂成農產加工廠,99644668,臺中市沙鹿區洛泉里文昌街五０號,08食品製造業,089其他食品
263,66000,川大豐碾米工廠,99644681,臺中市沙鹿區南勢里鎮南路二段二四號,08食品製造業,086碾榖、磨粉及澱粉製品
264,66000,大龍棧餐飲事業股份有限公司,99644806,臺中市大雅區四德里中清路三段897號,08食品製造業,089其他食品
265,66000,瑞安餐盒食品工廠,99644844,臺中市大里區大元里大衛路六五號,08食品製造業,089其他食品
266,66000,榮隆碾米廠,99644910,臺中市烏日區學田里學田路451號,08食品製造業,086碾榖、磨粉及澱粉製品
267,66000,朱記餅店,99644940,臺中市神岡區社口里中山路九七０之一號,08食品製造業,089其他食品
268,66000,東海大學實習農牧場牛乳加工廠,99669051,臺中市西屯區福恩里臺灣大道四段1727號,"08食品製造業,09飲料製造業","092非酒精飲料,085乳品"
269,66000,林信成食品工廠,99669053,臺中市西區安龍里梅川東路一段３５號,08食品製造業,"083蔬果處理及其製品,089其他食品"
270,66000,大豐麵粉廠股份有限公司,99669057,臺中市東區樂成里東光園路３４５號,"08食品製造業,09飲料製造業",086碾榖、磨粉及澱粉製品
271,66000,統一企業股份有限公司台中廠,99669080,臺中市西屯區協和里工業區三路7號,08食品製造業,087動物飼料
